track_id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2HRgqmZQC0MC7GeNuDIXHN,https://open.spotify.com/track/2HRgqmZQC0MC7GeNuDIXHN,0.312,0.79,0.831,0.0,11.0,0.0797,-4.185,1.0,0.044,124.987,0.872
2q7vxGxC4IwqAyGYuEMGNk,https://open.spotify.com/track/2q7vxGxC4IwqAyGYuEMGNk,0.0369,0.539,0.742,0.0,8.0,0.809,-6.915,1.0,0.0614,153.797,0.511
0Y9lZqbnZIQGmodV1gDjaB,https://open.spotify.com/track/0Y9lZqbnZIQGmodV1gDjaB,0.337,0.517,0.817,0.00169,10.0,0.114,-6.835,0.0,0.041,100.026,0.549
3KZCP2StVGdWkOKyRZNWA4,https://open.spotify.com/track/3KZCP2StVGdWkOKyRZNWA4,0.117,0.841,0.774,2.66e-06,6.0,0.0674,-4.963,0.0,0.0421,95.006,0.494
61qPUnazSdkvua4wgA4L8C,https://open.spotify.com/track/61qPUnazSdkvua4wgA4L8C,0.463,0.696,0.445,1.72e-05,1.0,0.0918,-9.114,1.0,0.0316,94.984,0.591
3qrTll9OQ9wcejTxPFY0qg,https://open.spotify.com/track/3qrTll9OQ9wcejTxPFY0qg,0.263,0.556,0.47,0.000266,9.0,0.0835,-9.777,0.0,0.0379,142.596,0.322
0SCHvh0ZqVd2Wcq2l4kzai,https://open.spotify.com/track/0SCHvh0ZqVd2Wcq2l4kzai,0.262,0.74,0.863,8.55e-06,5.0,0.31,-3.931,0.0,0.0468,136.984,0.823
79cEwjR3DqqgHgMN3XIt3c,https://open.spotify.com/track/79cEwjR3DqqgHgMN3XIt3c,0.0631,0.939,0.474,0.0,8.0,0.103,-9.667,0.0,0.0695,130.016,0.738
36gPkgppkjiAim7a2KKAyb,https://open.spotify.com/track/36gPkgppkjiAim7a2KKAyb,0.972,0.13,0.088,0.903,2.0,0.108,-21.082,1.0,0.0429,64.995,0.0344
4WPMwSCIAiykQJNZzEVi8B,https://open.spotify.com/track/4WPMwSCIAiykQJNZzEVi8B,0.0938,0.67,0.589,0.00382,11.0,0.132,-9.143,0.0,0.064,75.999,0.252
0S4dVpqBLnBFj4wdB4UDMd,https://open.spotify.com/track/0S4dVpqBLnBFj4wdB4UDMd,0.678,0.736,0.927,0.000256,6.0,0.217,-3.487,0.0,0.0541,156.046,0.971
1fzAuUVbzlhZ1lJAx9PtY6,https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6,0.808,0.557,0.496,0.000173,0.0,0.0772,-9.602,1.0,0.0563,149.983,0.265
4veGXJ1gdyQwJvpuYu5Y8i,https://open.spotify.com/track/4veGXJ1gdyQwJvpuYu5Y8i,0.392,0.725,0.494,0.0,1.0,0.117,-10.256,1.0,0.333,159.971,0.262
6PfZSRqH1vxzYR7z92lD9a,https://open.spotify.com/track/6PfZSRqH1vxzYR7z92lD9a,0.541,0.372,0.298,0.849,4.0,0.107,-11.209,1.0,0.0325,169.857,0.167
3XsaSIPWvM61RIFfeb0BBR,https://open.spotify.com/track/3XsaSIPWvM61RIFfeb0BBR,0.906,0.234,0.202,5.55e-05,9.0,0.387,-16.222,1.0,0.0332,96.593,0.187
3qxiSQOe8EhQm7OckqKiUu,https://open.spotify.com/track/3qxiSQOe8EhQm7OckqKiUu,0.216,0.64,0.776,0.0,2.0,0.0268,-4.278,1.0,0.242,92.953,0.236
6RgVISu7rwckOPMKZDgexm,https://open.spotify.com/track/6RgVISu7rwckOPMKZDgexm,0.0296,0.708,0.664,0.262,9.0,0.352,-5.642,0.0,0.0311,143.004,0.689
73Yi5M3WRdNEUjumZip3LI,,,,,,,,,,,,
0BKvzaT15jI9cez1BGf8kS,https://open.spotify.com/track/0BKvzaT15jI9cez1BGf8kS,0.187,0.584,0.629,0.0,8.0,0.306,-6.696,0.0,0.0411,200.04,0.813
4v9Iq4LANThJsxnMNukzOf,https://open.spotify.com/track/4v9Iq4LANThJsxnMNukzOf,0.877,0.45,0.101,0.973,2.0,0.11,-35.742,1.0,0.0593,148.977,0.0377
5XfGQZA0ioQAWUjlyJRcHc,https://open.spotify.com/track/5XfGQZA0ioQAWUjlyJRcHc,0.789,0.641,0.326,0.0,8.0,0.104,-8.716,1.0,0.0325,143.997,0.474
3YctJXK6kznnWl68TnYobN,https://open.spotify.com/track/3YctJXK6kznnWl68TnYobN,0.726,0.703,0.28,0.000282,3.0,0.118,-9.56,1.0,0.0293,141.892,0.338
1z5ebC9238uGoBgzYyvGpQ,https://open.spotify.com/track/1z5ebC9238uGoBgzYyvGpQ,0.0498,0.413,0.604,0.0,7.0,0.114,-5.628,1.0,0.0999,167.232,0.296
52iD6HTHA5y3Bvkzpb4Eyz,https://open.spotify.com/track/52iD6HTHA5y3Bvkzpb4Eyz,0.473,0.519,0.655,0.0,5.0,0.0858,-6.428,0.0,0.0398,159.663,0.515
3Nhp8faDyxiX68dxkwRhAi,,,,,,,,,,,,
1EtVdxwmopG3bipmDRnDLl,,,,,,,,,,,,
2de68jPEowvtZxhClJBdAV,,,,,,,,,,,,
5sPFtBcnGdR2knAlBK1d1B,,,,,,,,,,,,
6gKdK7OGOHzjV2xf27ELk6,,,,,,,,,,,,
6gKdK7OGOHzjV2xf27ELk6,,,,,,,,,,,,
0ROoJsLkr5rqBwvNA5Iamq,https://open.spotify.com/track/0ROoJsLkr5rqBwvNA5Iamq,0.99,0.304,0.0143,0.938,8.0,0.106,-30.75,1.0,0.0404,148.583,0.126
6gKdK7OGOHzjV2xf27ELk6,,,,,,,,,,,,
1Ofar7nEADge5tb0jBynGm,https://open.spotify.com/track/1Ofar7nEADge5tb0jBynGm,0.101,0.766,0.756,0.000109,11.0,0.301,-6.386,0.0,0.0689,118.364,0.822
6JDrRDk2NGO4EfpMygsKHL,https://open.spotify.com/track/6JDrRDk2NGO4EfpMygsKHL,0.109,0.679,0.716,0.00269,10.0,0.113,-8.517,0.0,0.0438,81.452,0.623
3phvfPBnIy3jS1gn613TPW,,,,,,,,,,,,
7v4JGOsUkblqcvOJ0YpNUU,,,,,,,,,,,,
252UPuQsncbBFhTrx4Ytcc,https://open.spotify.com/track/252UPuQsncbBFhTrx4Ytcc,0.461,0.859,0.747,1.14e-06,0.0,0.34,-4.176,1.0,0.0623,124.966,0.882
6iNAD4O4N8hLOJPGTd48zM,https://open.spotify.com/track/6iNAD4O4N8hLOJPGTd48zM,0.279,0.689,0.552,0.0,2.0,0.314,-5.542,1.0,0.0264,113.28,0.431
5gtYBl0vEpgWwCs6z4iQOn,https://open.spotify.com/track/5gtYBl0vEpgWwCs6z4iQOn,0.362,0.907,0.612,0.0,7.0,0.134,-5.675,1.0,0.0495,119.952,0.668
5qgiVAk73dupIm2hpVtHpU,https://open.spotify.com/track/5qgiVAk73dupIm2hpVtHpU,0.994,0.643,0.232,0.875,0.0,0.128,-20.485,1.0,0.0637,119.662,0.518
7ajc5NF5Myii7u0k57SPoo,https://open.spotify.com/track/7ajc5NF5Myii7u0k57SPoo,0.0707,0.539,0.995,0.0828,2.0,0.38,-3.563,1.0,0.0643,160.052,0.642
2D9mO7arRSeHAEHNVAacaA,https://open.spotify.com/track/2D9mO7arRSeHAEHNVAacaA,0.0479,0.846,0.9,0.839,8.0,0.0651,-6.179,0.0,0.0857,125.041,0.565
1qRfAvzRIJQodWKBNFAb6C,https://open.spotify.com/track/1qRfAvzRIJQodWKBNFAb6C,0.0317,0.768,0.818,1.35e-06,11.0,0.0908,-4.057,0.0,0.328,98.015,0.769
3uzUBVCNTdVnmJMumFA4Ce,https://open.spotify.com/track/3uzUBVCNTdVnmJMumFA4Ce,0.261,0.578,0.773,0.0,7.0,0.126,-3.424,0.0,0.141,145.817,0.736
5eC84hN3UbRhSfnJLdUNLv,https://open.spotify.com/track/5eC84hN3UbRhSfnJLdUNLv,0.0797,0.634,0.744,0.0,1.0,0.122,-3.748,1.0,0.112,160.024,0.203
2VdSktBqFfkW7y6q5Ik4Z4,https://open.spotify.com/track/2VdSktBqFfkW7y6q5Ik4Z4,0.0073,0.745,0.747,1.69e-06,11.0,0.0738,-4.278,0.0,0.0815,120.073,0.363
5eWcGfUCrVFMoYskyfkEPE,https://open.spotify.com/track/5eWcGfUCrVFMoYskyfkEPE,0.0668,0.695,0.786,1.41e-06,9.0,0.109,-2.048,1.0,0.0666,91.992,0.465
5cml547MByVlaVrKU2lJTg,https://open.spotify.com/track/5cml547MByVlaVrKU2lJTg,0.0673,0.936,0.518,9.46e-05,0.0,0.0764,-6.853,0.0,0.173,120.039,0.402
1eMXh9WqMtnmeyZnig2NUA,https://open.spotify.com/track/1eMXh9WqMtnmeyZnig2NUA,0.0537,0.716,0.723,0.00769,10.0,0.109,-4.202,1.0,0.0636,170.031,0.826
5jFA0f4ZDGLbQP4nxzL8D4,https://open.spotify.com/track/5jFA0f4ZDGLbQP4nxzL8D4,0.00204,0.845,0.583,0.000459,0.0,0.11,-3.455,1.0,0.287,145.078,0.903
5XgpyZKlul5fQvf6D1ksEl,https://open.spotify.com/track/5XgpyZKlul5fQvf6D1ksEl,0.535,0.445,0.812,0.0,2.0,0.292,-5.065,0.0,0.254,100.097,0.882
7bpvfjoneSQvW0tbtVm1Jk,https://open.spotify.com/track/7bpvfjoneSQvW0tbtVm1Jk,0.0165,0.69,0.568,6.98e-06,6.0,0.111,-4.501,1.0,0.0525,128.059,0.728
7qEHsqek33rTcFNT9PFqLf,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.751,0.501,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,0.446
7FM0t87KFy3ViLJW5yFxna,https://open.spotify.com/track/7FM0t87KFy3ViLJW5yFxna,0.935,0.601,0.214,0.0021,6.0,0.111,-10.275,0.0,0.0436,129.767,0.163
7xBRZggjZohj1fIx5qp0eC,,,,,,,,,,,,
7xoUc6faLbCqZO6fQEYprd,https://open.spotify.com/track/7xoUc6faLbCqZO6fQEYprd,0.093,0.628,0.593,1.65e-06,8.0,0.096,-5.036,1.0,0.0323,125.025,0.104
28Lte4A9tGMOoF6Idk3GCl,,,,,,,,,,,,
5QMrH5nszZZR3nefIj6Mar,https://open.spotify.com/track/5QMrH5nszZZR3nefIj6Mar,0.527,0.31,0.303,0.0,1.0,0.0436,-10.345,1.0,0.0344,148.419,0.208
6WzRpISELf3YglGAh7TXcG,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG,0.0517,0.854,0.674,8.53e-05,1.0,0.509,-6.23,1.0,0.184,99.022,0.848
7eGuPhpdS8sBjPJNuAShUX,https://open.spotify.com/track/7eGuPhpdS8sBjPJNuAShUX,0.691,0.607,0.48,0.0,1.0,0.111,-8.81,1.0,0.12,151.909,0.637
6qo8v2y2MHUSPLs7VBc6cG,https://open.spotify.com/track/6qo8v2y2MHUSPLs7VBc6cG,0.146,0.468,0.384,0.0,0.0,0.749,-11.008,1.0,0.058,123.619,0.397
17cia5k4BpGVlyEfqrFH50,https://open.spotify.com/track/17cia5k4BpGVlyEfqrFH50,0.834,0.409,0.347,4.55e-06,11.0,0.121,-8.159,0.0,0.0359,141.332,0.199
19KajOu6WplvTQLUTjoDNs,,,,,,,,,,,,
4ApCig0GTR4IEp7Ijsyo3r,https://open.spotify.com/track/4ApCig0GTR4IEp7Ijsyo3r,0.241,0.532,0.825,0.0,3.0,0.31,-3.239,0.0,0.0798,75.723,0.878
7yDHHVKLbvDmVw1XXhDDIO,https://open.spotify.com/track/7yDHHVKLbvDmVw1XXhDDIO,0.768,0.413,0.406,2.22e-06,10.0,0.107,-10.23,0.0,0.0353,76.944,0.281
6RjSXi9cPGroetXeNsWFGL,https://open.spotify.com/track/6RjSXi9cPGroetXeNsWFGL,0.364,0.492,0.427,0.00482,9.0,0.53,-6.37,0.0,0.372,80.492,0.443
